,Term,Ratio
0,static,0.18340611353711792
1,xml,0.21794871794871795
2,android,0.2287145242070117
3,%,0.06405693950177936
4,bigdecimal,0.9230769230769231
5,spring,0.20473773265651438
6,at,0.7410179640718563
7,/kbd,0.9512195121951219
8,int,0.23963133640552994
9,enum,0.7938144329896907
10,@,0.24660194174757283
11,/li,0.6957575757575758
12,maven,0.3687707641196013
13,test,0.36699029126213595
14,stream,0.4239766081871345
15,server,0.21298701298701297
16,date,0.34057971014492755
17,foo,0.635593220338983
18,file,0.3492286115007013
19,br,0.02860858257477243
20,exception,0.14496314496314497
21,intellij,0.49361702127659574
22,thread,0.5009523809523809
23,node,0.6814814814814815
24,person,0.8324607329842932
25,log4j,0.432258064516129
26,properties,0.40869565217391307
27,gson,0.6068965517241379
28,&,0.4161073825503356
29,b,0.024139702105803802
30,eclipse,0.2823741007194245
31,hashcode,0.5671641791044776
32,random,0.7286821705426356
33,user,0.478125
34,unknown,0.9083969465648855
35,word,0.5504587155963303
36,abstract,0.17543859649122806
37,calendar,0.24516129032258063
38,key,0.4329268292682927
39,hibernate,0.281767955801105
40,constructor,0.6747572815533981
41,memory,0.3740053050397878
42,connection,0.20277777777777778
43,gradle,0.3942307692307692
44,icon,0.75
45,obj,0.6298701298701299
46,stack,0.023017902813299233
47,android,0.9371069182389937
48,at,0.5904255319148937
49,map,0.4654255319148936
50,/li,0.05624591236102027
51,keystore,0.3203463203463203
52,jre,0.552
53,image,0.42745098039215684
54,/em,0.2638888888888889
55,'',0.1717171717171717
56,system.out.println,0.07544378698224852
57,difference,0.2695035460992908
58,web,0.2006079027355623
59,project,0.5
60,request,0.14314115308151093
61,date,0.5955678670360111
62,we,0.021018593371059015
63,socket,0.6635514018691588
64,intent,0.17067833698030635
65,double,0.5787965616045845
66,quot,0.9791666666666666
67,&,0.6510161177295024
68,',0.009507640067911714
69,at,0.7403846153846154
70,json,0.35917312661498707
71,&,1.0
72,byte,0.8102189781021898
73,--,0.018251157722691366
74,button,0.5958549222797928
75,jdk,0.17391304347826086
76,selenium,0.24855491329479767
77,package,0.36464088397790057
78,jar,0.3968609865470852
79,list,0.5119236883942766
80,tomcat,0.06340819022457067
81,difference,0.27876106194690264
82,hello,0.5314685314685315
83,-xx,0.5943396226415094
84,import,0.15034965034965034
85,/strong,0.22959183673469388
86,queue,0.012974976830398516
87,inputstream,0.4794520547945205
88,'',0.03690987124463519
89,boolean,0.2896825396825397
90,bufferedreader,0.3401015228426396
91,excel,0.2631578947368421
92,&,0.9970631424375918
93,text,0.41729323308270677
94,url,0.4823529411764706
95,array,0.6134020618556701
96,arraylist,0.7117117117117117
97,break,0.3769230769230769
98,import,0.0379746835443038
99,path,0.38341968911917096
