,Term,Ratio,Size
0,static,0.2183406113537118,458
1,xml,0.25,312
2,android,0.25041736227045075,599
3,),0.051601423487544484,562
4,bigdecimal,0.717948717948718,117
5,spring,0.2961082910321489,591
6,:,0.06736526946107785,668
7,idea,0.14634146341463414,82
8,int,0.09984639016897082,651
9,enum,0.6907216494845361,291
10,jpa,0.141747572815534,515
11,java,0.06787878787878789,825
12,maven,0.42524916943521596,301
13,junit,0.3145631067961165,515
14,stream,0.4093567251461988,342
15,server,0.17402597402597403,385
16,date,0.35507246376811596,276
17,method,0.059322033898305086,472
18,file,0.34221598877980364,713
19,in,0.05851755526657997,769
20,exception,0.2702702702702703,407
21,intellij,0.44680851063829785,235
22,thread,0.3161904761904762,525
23,node,0.1925925925925926,135
24,object,0.06282722513089005,191
25,log4j,0.5612903225806452,155
26,properties,0.3652173913043478,230
27,gson,0.696551724137931,145
28,spring,0.15771812080536912,298
29,java,0.04930662557781202,1947
30,eclipse,0.3669064748201439,556
31,hashcode,0.4701492537313433,134
32,random,0.6434108527131783,129
33,user,0.090625,320
34,:,0.11450381679389313,131
35,word,0.22018348623853212,109
36,class,0.2726045883940621,741
37,calendar,0.25161290322580643,155
38,key,0.2347560975609756,328
39,hibernate,0.4005524861878453,362
40,constructor,0.5145631067961165,206
41,memory,0.3183023872679045,377
42,jdbc,0.24166666666666667,360
43,gradle,0.6009615384615384,208
44,icon,0.4807692307692308,52
45,object,0.14285714285714285,154
46,eclipse,0.05370843989769821,391
47,android,0.25157232704402516,318
48,android,0.14361702127659576,188
49,map,0.35904255319148937,376
50,java,0.04447351209941138,1529
51,keystore,0.2857142857142857,231
52,jre,0.416,125
53,image,0.41568627450980394,255
54,in,0.047619047619047616,504
55,intellij,0.1111111111111111,297
56,java,0.06656804733727811,676
57,difference,0.4397163120567376,282
58,web,0.21580547112462006,329
59,project,0.35,280
60,request,0.14910536779324055,503
61,date,0.4598337950138504,361
62,java,0.10105092966855295,2474
63,socket,0.37383177570093457,107
64,android,0.16849015317286653,457
65,double,0.3438395415472779,349
66,get,0.03125,192
67,generics,0.050455501051156273,1427
68,string,0.06044142614601019,2945
69,:,0.09134615384615384,208
70,json,0.42377260981912146,387
71,maven,0.21103896103896103,616
72,byte,0.5328467153284672,274
73,in,0.04957777172432579,3671
74,button,0.29533678756476683,193
75,jdk,0.12276214833759591,391
76,selenium,0.5202312138728323,173
77,package,0.425414364640884,181
78,jar,0.4125560538116592,446
79,list,0.29252782193958665,629
80,application,0.1083223249669749,757
81,difference,0.4469026548672566,226
82,string,0.13286713286713286,143
83,gc,0.1320754716981132,106
84,jframe,0.16433566433566432,286
85,difference,0.04336734693877551,392
86,java,0.05329008341056534,2158
87,inputstream,0.5068493150684932,146
88,java,0.09699570815450644,1165
89,boolean,0.29365079365079366,252
90,file,0.16243654822335024,197
91,poi,0.5526315789473685,152
92,xml,0.06901615271659324,681
93,text,0.2819548872180451,266
94,url,0.2901960784313726,255
95,array,0.48711340206185566,388
96,arraylist,0.5315315315315315,333
97,switch,0.46153846153846156,130
98,java,0.0420253164556962,1975
99,path,0.31088082901554404,193
